Date,Open,High,Low,Close,Adj_Close,Volume,Empty_col_H,MA_Price_200_day,MA_Price_50_day,MA_Price_20_day,MA_Price_10_day,MA_Volume_50_day
01/04/2021
12/31/2020,22.490000,23.719999,22.299999,23.240000,23.240000,130600,-,17.101918,23.142733,22.738000,23.172000,65886.0
12/30/2020,21.570000,23.209999,21.440001,22.760000,22.760000,49900,-,17.026261,23.167737,22.710500,23.189000,65122.0
12/29/2020,22.299999,22.650000,21.020000,21.690001,21.690001,44100,-,16.968171,23.232816,22.725500,23.180000,65792.0
12/28/2020,24.270000,24.270000,22.110001,22.230000,22.230000,62900,-,16.900958,23.342004,22.728000,23.191000,69004.0
12/24/2020,24.420000,24.620001,23.910000,24.309999,24.309999,16100,-,16.836992,23.402944,22.781500,23.146000,68548.0
12/23/2020,23.290001,24.540001,23.250000,24.420000,24.420000,71900,-,16.761041,23.410930,22.739500,22.934000,69076.0
12/22/2020,23.180000,23.870001,22.629999,23.240000,23.240000,34700,-,16.700300,23.424684,22.737500,22.722000,68304.0
12/21/2020,22.600000,23.580000,21.690001,22.930000,22.930000,58000,-,16.639017,23.460245,22.775500,22.643000,68378.0
12/18/2020,23.930000,24.030001,22.680000,23.190001,23.190001,142800,-,16.576904,23.502803,22.871000,22.547000,67898.0
12/17/2020,23.629999,24.299999,23.420000,23.709999,23.709999,55100,-,16.517754,23.545937,22.971000,22.424000,65782.0
12/16/2020,22.980000,23.639999,22.330000,23.410000,23.410000,43800,-,16.460861,23.578671,23.070500,22.304000,65690.0
12/15/2020,21.799999,22.820000,21.660000,22.670000,22.670000,35600,-,16.409532,23.587926,23.207500,22.232000,65540.0
12/14/2020,21.780001,22.209999,21.480000,21.799999,21.799999,46100,-,16.358434,23.616362,23.386500,22.271000,65672.0
12/11/2020,22.190001,22.360001,21.370001,21.780001,21.780001,26000,-,16.313321,23.666979,23.571500,22.265000,66058.0
12/10/2020,22.330000,22.510000,21.790001,22.190001,22.190001,20100,-,16.263996,23.733931,23.709500,22.417000,68396.0
